Python executable:
Python 3.10.19
GPU Info:
Thu Nov 27 09:22:01 2025       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.161.07             Driver Version: 535.161.07   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  NVIDIA L40S                    On  | 00000000:4C:00.0 Off |                    0 |
| N/A   32C    P8              35W / 350W |      0MiB / 46068MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
Dataset contains 40455 image-caption pairs.
Number of unique words in captions: 8488
Average caption length: 11.78 words
Average image size: 397.25 x 457.87 pixels
8091 images in dataset
count    8091.0
mean        5.0
std         0.0
min         5.0
25%         5.0
50%         5.0
75%         5.0
max         5.0
dtype: float64
Model will be saved as: 20251127_clip_cuda_sub-size-full_bs128_ep200_lr1e-05_x_bs_temp0.12
Epoch 46/200 | Train Loss: 3.5377 | Val Loss: 3.9914 | MeanSim: 0.2391 | R@1: 0.006 | Epoch time: 164.04s
Epoch 47/200 | Train Loss: 3.5261 | Val Loss: 3.9874 | MeanSim: 0.2347 | R@1: 0.006 | Epoch time: 163.73s
Epoch 48/200 | Train Loss: 3.5181 | Val Loss: 3.9842 | MeanSim: 0.2328 | R@1: 0.006 | Epoch time: 163.99s
Epoch 49/200 | Train Loss: 3.5064 | Val Loss: 3.9795 | MeanSim: 0.2349 | R@1: 0.006 | Epoch time: 164.53s
Epoch 50/200 | Train Loss: 3.4968 | Val Loss: 3.9745 | MeanSim: 0.2387 | R@1: 0.007 | Epoch time: 164.24s
Epoch 51/200 | Train Loss: 3.4922 | Val Loss: 3.9750 | MeanSim: 0.2444 | R@1: 0.006 | Epoch time: 164.09s
Epoch 52/200 | Train Loss: 3.4812 | Val Loss: 3.9734 | MeanSim: 0.2396 | R@1: 0.005 | Epoch time: 163.85s
Epoch 53/200 | Train Loss: 3.4743 | Val Loss: 3.9733 | MeanSim: 0.2359 | R@1: 0.006 | Epoch time: 164.27s
Epoch 54/200 | Train Loss: 3.4646 | Val Loss: 3.9699 | MeanSim: 0.2380 | R@1: 0.006 | Epoch time: 163.93s
Epoch 55/200 | Train Loss: 3.4596 | Val Loss: 3.9732 | MeanSim: 0.2382 | R@1: 0.007 | Epoch time: 163.72s
Epoch 56/200 | Train Loss: 3.4500 | Val Loss: 3.9568 | MeanSim: 0.2415 | R@1: 0.006 | Epoch time: 163.91s
Epoch 57/200 | Train Loss: 3.4410 | Val Loss: 3.9576 | MeanSim: 0.2423 | R@1: 0.004 | Epoch time: 164.42s
Epoch 58/200 | Train Loss: 3.4331 | Val Loss: 3.9699 | MeanSim: 0.2365 | R@1: 0.006 | Epoch time: 169.28s
Epoch 59/200 | Train Loss: 3.4275 | Val Loss: 3.9528 | MeanSim: 0.2434 | R@1: 0.006 | Epoch time: 163.97s
Epoch 60/200 | Train Loss: 3.4183 | Val Loss: 3.9443 | MeanSim: 0.2457 | R@1: 0.006 | Epoch time: 168.71s
Epoch 61/200 | Train Loss: 3.4112 | Val Loss: 3.9481 | MeanSim: 0.2446 | R@1: 0.006 | Epoch time: 163.49s
Epoch 62/200 | Train Loss: 3.4071 | Val Loss: 3.9473 | MeanSim: 0.2454 | R@1: 0.006 | Epoch time: 164.08s
Epoch 63/200 | Train Loss: 3.4005 | Val Loss: 3.9437 | MeanSim: 0.2421 | R@1: 0.008 | Epoch time: 163.52s
Epoch 64/200 | Train Loss: 3.3920 | Val Loss: 3.9439 | MeanSim: 0.2422 | R@1: 0.006 | Epoch time: 163.53s
Epoch 65/200 | Train Loss: 3.3835 | Val Loss: 3.9423 | MeanSim: 0.2430 | R@1: 0.008 | Epoch time: 163.71s
Epoch 66/200 | Train Loss: 3.3779 | Val Loss: 3.9435 | MeanSim: 0.2431 | R@1: 0.006 | Epoch time: 163.55s
Epoch 67/200 | Train Loss: 3.3720 | Val Loss: 3.9484 | MeanSim: 0.2431 | R@1: 0.007 | Epoch time: 165.77s
Epoch 68/200 | Train Loss: 3.3672 | Val Loss: 3.9548 | MeanSim: 0.2440 | R@1: 0.006 | Epoch time: 164.98s
Epoch 69/200 | Train Loss: 3.3606 | Val Loss: 3.9392 | MeanSim: 0.2457 | R@1: 0.007 | Epoch time: 165.64s
Epoch 70/200 | Train Loss: 3.3538 | Val Loss: 3.9362 | MeanSim: 0.2479 | R@1: 0.007 | Epoch time: 164.62s
